Week,Phase,Day,Morning Session,Midday Session,Evening Session
Week 1,Foundation & Conditioning,Monday,Roadwork (3–5 mi) + Shadowboxing (15 min),Strength Training (Full Body) + Mobility Work,Sparring (4-6 rounds) + Double-End Bag (3 rounds)
Week 1,Foundation & Conditioning,Tuesday,Interval Sprints (8x200m) + Mitt Work (4 rounds),Pad Work (4 rounds) + Flexibility Drills,Heavy Bag (6 rounds) + Footwork Drills (20 min)
Week 1,Foundation & Conditioning,Wednesday,Roadwork (tempo run 4 mi) + Heavy Bag (3 rounds),Strength Training (Push Focus) + Speed Bag (3 rounds),Mitt Work (3 rounds) + Sparring (6 rounds)
Week 1,Foundation & Conditioning,Thursday,Interval Sprints (10x100m) + Double-End Bag (4 rounds),"Technical Drills (slip, pivot, defense) + Mobility",Light Sparring (3 rounds) + Defensive Drills
Week 1,Foundation & Conditioning,Friday,Roadwork (easy pace 3 mi) + Shadowboxing (20 min),Strength Training (Pull Focus) + Flexibility,Heavy Bag (5 rounds) + Slip Bag (3 rounds)
Week 1,Foundation & Conditioning,Saturday,Long Run (5+ mi) + Shadowboxing (20 min),Technical Bag Work (6 rounds) + Speed Bag (3 rounds),Open Sparring (6–8 rounds) + Conditioning (core)
Week 1,Foundation & Conditioning,Sunday,Rest or Light Shadowboxing (10 min),Mobility & Flexibility + Film Study,Active Recovery (yoga or stretching)
Week 2,Technical & Speed Focus,Monday,Roadwork (3–5 mi) + Shadowboxing (15 min),Strength Training (Full Body) + Mobility Work,Sparring (4-6 rounds) + Double-End Bag (3 rounds)
Week 2,Technical & Speed Focus,Tuesday,Interval Sprints (8x200m) + Mitt Work (4 rounds),Pad Work (4 rounds) + Flexibility Drills,Heavy Bag (6 rounds) + Footwork Drills (20 min)
Week 2,Technical & Speed Focus,Wednesday,Roadwork (tempo run 4 mi) + Heavy Bag (3 rounds),Strength Training (Push Focus) + Speed Bag (3 rounds),Mitt Work (3 rounds) + Sparring (6 rounds)
Week 2,Technical & Speed Focus,Thursday,Interval Sprints (10x100m) + Double-End Bag (4 rounds),"Technical Drills (slip, pivot, defense) + Mobility",Light Sparring (3 rounds) + Defensive Drills
Week 2,Technical & Speed Focus,Friday,Roadwork (easy pace 3 mi) + Shadowboxing (20 min),Strength Training (Pull Focus) + Flexibility,Heavy Bag (5 rounds) + Slip Bag (3 rounds)
Week 2,Technical & Speed Focus,Saturday,Long Run (5+ mi) + Shadowboxing (20 min),Technical Bag Work (6 rounds) + Speed Bag (3 rounds),Open Sparring (6–8 rounds) + Conditioning (core)
Week 2,Technical & Speed Focus,Sunday,Rest or Light Shadowboxing (10 min),Mobility & Flexibility + Film Study,Active Recovery (yoga or stretching)
Week 3,Sparring & Tactical Focus,Monday,Roadwork (3–5 mi) + Shadowboxing (15 min),Strength Training (Full Body) + Mobility Work,Sparring (4-6 rounds) + Double-End Bag (3 rounds)
Week 3,Sparring & Tactical Focus,Tuesday,Interval Sprints (8x200m) + Mitt Work (4 rounds),Pad Work (4 rounds) + Flexibility Drills,Heavy Bag (6 rounds) + Footwork Drills (20 min)
Week 3,Sparring & Tactical Focus,Wednesday,Roadwork (tempo run 4 mi) + Heavy Bag (3 rounds),Strength Training (Push Focus) + Speed Bag (3 rounds),Mitt Work (3 rounds) + Sparring (6 rounds)
Week 3,Sparring & Tactical Focus,Thursday,Interval Sprints (10x100m) + Double-End Bag (4 rounds),"Technical Drills (slip, pivot, defense) + Mobility",Light Sparring (3 rounds) + Defensive Drills
Week 3,Sparring & Tactical Focus,Friday,Roadwork (easy pace 3 mi) + Shadowboxing (20 min),Strength Training (Pull Focus) + Flexibility,Heavy Bag (5 rounds) + Slip Bag (3 rounds)
Week 3,Sparring & Tactical Focus,Saturday,Long Run (5+ mi) + Shadowboxing (20 min),Technical Bag Work (6 rounds) + Speed Bag (3 rounds),Open Sparring (6–8 rounds) + Conditioning (core)
Week 3,Sparring & Tactical Focus,Sunday,Rest or Light Shadowboxing (10 min),Mobility & Flexibility + Film Study,Active Recovery (yoga or stretching)
Week 4,Deload & Recovery,Monday,Roadwork (3–5 mi) + Shadowboxing (15 min),Strength Training (Full Body) + Mobility Work,Sparring (4-6 rounds) + Double-End Bag (3 rounds)
Week 4,Deload & Recovery,Tuesday,Interval Sprints (8x200m) + Mitt Work (4 rounds),Pad Work (4 rounds) + Flexibility Drills,Heavy Bag (6 rounds) + Footwork Drills (20 min)
Week 4,Deload & Recovery,Wednesday,Roadwork (tempo run 4 mi) + Heavy Bag (3 rounds),Strength Training (Push Focus) + Speed Bag (3 rounds),Mitt Work (3 rounds) + Sparring (6 rounds)
Week 4,Deload & Recovery,Thursday,Interval Sprints (10x100m) + Double-End Bag (4 rounds),"Technical Drills (slip, pivot, defense) + Mobility",Light Sparring (3 rounds) + Defensive Drills
Week 4,Deload & Recovery,Friday,Roadwork (easy pace 3 mi) + Shadowboxing (20 min),Strength Training (Pull Focus) + Flexibility,Heavy Bag (5 rounds) + Slip Bag (3 rounds)
Week 4,Deload & Recovery,Saturday,Long Run (5+ mi) + Shadowboxing (20 min),Technical Bag Work (6 rounds) + Speed Bag (3 rounds),Open Sparring (6–8 rounds) + Conditioning (core)
Week 4,Deload & Recovery,Sunday,Rest or Light Shadowboxing (10 min),Mobility & Flexibility + Film Study,Active Recovery (yoga or stretching)
