Day, Activity, Training Focus, Time Duration Minutes
Monday,Warmup,Light Jog + Cadence Breath,5
Monday,Stretch,Static & Dynamic + Box Breath,5
Monday,Run,Endurance + Cadence Breath,20
Monday,Recovery,Active,5
Monday,Boxing,Shadowboxing + Offense/Deffese Drills,30
Monday,Recovery,Passive,5
Monday,Strength Training,"Chest, Shoulders, Glutes",15
Monday,Cooldown,Static & Dynamic Stretch + Calm Breath,5
Monday,Post Workout Meal,Whole Foods Shake,10
Monday,Shower,Cold + Hot Recovery,20
Tuesday,Warmup,Light Jog + Cadence Breath,5
Tuesday,Stretch,Static & Dynamic + Box Breath,5
Tuesday,Run,Sprint Intervals + Cadence Breath,20
Tuesday,Recovery,Active,5
Tuesday,Wrestling,Offense/Deffese Drills,30
Tuesday,Recovery,Passive,5
Tuesday,Strength Training,"Back, Biceps, Quads, Hamstrings",15
Tuesday,Cooldown,Static & Dynamic Stretch + Calm Breath,5
Tuesday,Post Workout Meal,Whole Foods Shake,10
Tuesday,Shower,Cold + Hot Recovery,20
