Week,Phase,Day,Training Focus
Week 1,Foundation & Conditioning,Monday,Roadwork + Shadowboxing + Strength Training
Week 1,Foundation & Conditioning,Tuesday,Interval Sprints + Mitt Work + Mobility
Week 1,Foundation & Conditioning,Wednesday,Roadwork + Heavy Bag + Strength Training
Week 1,Foundation & Conditioning,Thursday,Interval Sprints + Double-End Bag + Flexibility
Week 1,Foundation & Conditioning,Friday,Roadwork + Shadowboxing + Strength Training
Week 1,Foundation & Conditioning,Saturday,Long Run + Shadowboxing + Open Sparring
Week 1,Foundation & Conditioning,Sunday,Rest / Light Shadowboxing + Stretch
Week 2,Technique & Speed,Monday,Shadowboxing + Mitt Work + Speed Bag
Week 2,Technique & Speed,Tuesday,Interval Sprints + Footwork Drills + Pad Work
Week 2,Technique & Speed,Wednesday,Heavy Bag + Technical Sparring + Flexibility
Week 2,Technique & Speed,Thursday,Double-End Bag + Reflex Drills + Strength Training
Week 2,Technique & Speed,Friday,Shadowboxing + Pad Work + Slip Bag
Week 2,Technique & Speed,Saturday,Open Sparring + Speed Bag + Technical Drills
Week 2,Technique & Speed,Sunday,Rest / Film Study + Mobility
Week 3,Sparring Focus,Monday,Roadwork + Shadowboxing + Sparring
Week 3,Sparring Focus,Tuesday,Technical Drills + Mitt Work + Strength
Week 3,Sparring Focus,Wednesday,Heavy Bag + Sparring + Flexibility
Week 3,Sparring Focus,Thursday,Footwork + Reflex Drills + Technical Sparring
Week 3,Sparring Focus,Friday,Pad Work + Sparring + Conditioning
Week 3,Sparring Focus,Saturday,Open Sparring + Strength + Stretch
Week 3,Sparring Focus,Sunday,Rest / Ice Bath / Mental Prep
Week 4,Deload & Recovery,Monday,Mobility + Shadowboxing + Light Bag Work
Week 4,Deload & Recovery,Tuesday,Stretch + Mitt Work + Light Drills
Week 4,Deload & Recovery,Wednesday,Mobility + Flexibility + Film Review
Week 4,Deload & Recovery,Thursday,Foam Rolling + Speed Bag + Footwork
Week 4,Deload & Recovery,Friday,Light Shadowboxing + Reflex Ball + Mobility
Week 4,Deload & Recovery,Saturday,Active Recovery + Yoga + Visualization
Week 4,Deload & Recovery,Sunday,Rest & Mental Focus
